app_id,avg_sesstimes,avg_users,avg_new_users
51a56c66,35047003.21,66027,6738.5
55b19905,4679668.286,25271.9286,3215.7143
4e964835,563286.7857,442548.2143,57555.1429
5.09E+09,300362.5,36357.0714,2710.0714
5aaa40c4,172008.8571,7807.9286,19.2143
598826ee,107597.7143,3326,65.7857
4e97eb63,83072.5714,1,0
5a3091e1,28755.1429,17792.4286,899.0714
56dfc053,23627.2857,65.2857,26.8571
5bf69c05,19358.4286,24.0714,1.4286
4e97eb63,13743.9286,1,0
5af11097,6303.2143,565.0714,2.4286
56dfbf42,6241.5,102.9286,32
59185d52,4070.2143,0,0
5a3092dd,3185.4286,2279.7143,100.0714
5b63c566,3162.7857,1729.2143,1552.6429
543cc1ce,2872.3571,45.4286,14.6429
543cc135,2689,249.2857,103.2857
59e46868,2185.4286,285.0714,94.5
5b63c5d1,1994.7143,1342.5,1157.5714
5c246f43,1528,4.9286,2.2857
57a01a0d,1481,37.7857,4.8571
5ba4b7e6,1194.7857,102.9286,5.6429
5a13fbef,1151.5714,630.6429,584.6429
4f6c3058,928.0714,333.2143,176.2143
5ba0a54a,861.9286,418.1429,144.7143
58f963bf,839.7857,459.1429,373.5714
5c246f2a,619,202.8571,152.4286
1234abc,616.1667,0,0
5a98ecd7,549.7143,41.5714,23.5714
556bdf55,501.5714,488.7143,134.2857
5a98ebdc,339.1429,20.0714,10.2143
5ba0a5c9,302.7857,141.7143,55.5714
5a13fca0,300.4286,156.8571,146.7143
5121ed60,270,27.9286,2.0714
575e093c,254.8571,85.2857,77.9286
59311c35,243,6.9286,4
59f292c5,229.5,42.8571,35.3571
59b104de,226.2143,88.1429,79.7857
5d638505,207.875,4.75,1.25
53341143,187.2143,2.4286,0.5714
5c4eb630,180.2143,20.6429,4.8571
50287828,178.2143,74.3571,55.2143
53281137,134,20.9286,12.2143
576b87b0,125.8571,59,43.6429
5a7bb4fc,123.3571,35.3571,13.8571
513ef147,110.7143,12.5714,6.2857
5c107f87,103.2143,5.0714,0
5bf69c57,92.3333,1.3333,0.3333
5afd4e55,91.6429,0,0
5938bcd4,80.7143,0,0
52aebb2e,80.5,28.7857,18.0714
55543a1f,68.7273,21.5455,8.6364
59a3cb4c,65,1,0
5554393c,64.2308,18.5385,3.5385
5146b468,38.7857,4.0714,1
50874050,37.5,17.7143,10.5714
5ae2885c,36.6923,1.6154,0
5294142e,36,1,1
4f0a594c,34.9286,0.0714,0
5bf69c36,30.6667,1,0
580047ae,25.3571,7.4286,6.8571
539eef4b,24.9286,12.7857,4.4286
5bdabc29,23.5,1.25,0.25
5408a2e7,22,0,0
59f291b0,19,5.2143,4.9286
596c2075,17.75,2.25,0
541132d6,16.5,1,0
5aceb703,16.25,1.75,0.75
5bf69d87,16,1,0
54587200,13.6667,0,0
5cf8b02e,13.6667,2,1.3333
4f8fb7e5,13.5714,3.9286,2.2143
5434e4b8,11.8333,0,0
5396ece5,11,1.5,0.8333
5187681c,11,0.5,0.5
5cde567f,9.5,1,0
551274ff,9.4,2,2
5c887f9e,9.3333,3,1.1111
59dae70d,9,0,0
5cf8b001,8.8,1.6,0.4
5285e5ab,8.2857,0.1429,0
53b4b194,8,0,0
5afd4d76,7.4,1.3,0
558b6c07,6.9167,2.6667,1.8333
4e6185f8,6.9091,0,0
50ea49a6,6.8333,2.6667,1.5833
5cb92680,6.5,1.5,0.75
5ad960bb,6.25,1.75,1.5
5077de47,5.8333,2.25,1.0833
5cde5667,5,2,0
5938bdcd,5,1,0
598d195f,4.6,3.1,2.6
538e7b71,4.4615,2.5385,0.0769
518b468a,4.1429,0,0
5771da7c,4,1,0
55b0a10e,4,1,0.6667
56629158,4,1.1667,1.1667
59880afa,3.9,1.9,1.5
58df39d0,3.8,1,1
5940afd2,3.6667,1,1
594b1d1a,3.6667,0,0
52775846,3.5,0,0
5bed5454,3.5,1.9286,1.1429
55a36976,3.4,1.5,1.2
5664f8c8,3.3333,1,0
5a9626bf,3.2,1.2,1.2
591beb0a,3,1,1
512d70e5,2.6667,1,0.3333
596c20cc,2.5,1,0
5.06E+14,2.3333,1,1
536b3ac3,2.3,1.3,0.5
5549aee0,2.1667,0,0
5927d738,2.125,1.25,0.75
505929b2,2,1,0
5344bb2f,2,1,1
54ee7df7,2,1,0.5
56dd2389,2,1,0
5795baaa,2,1.3333,0.8333
58cf9f77,2,1,1
5d099d27,1.75,1,0
538427c9,1.6667,1.5,0.6667
59439d58,1.6,1,0.8
5576c071,1.5,1,0
4d65b556,1,1,1
553ddda4,1,1,1
55516b2f,1,1,1
5d80f068,1,0,0
53feacdd,1,0,0
568c808e,1,1,1
56e7ce28,1,1,0
577f1b11,1,0,0
5982c7a8,1,1,1
59f6a277,1,1,0
5b8606be,1,0,0
5bd7f471,1,1,0.5
